event_id,nse,rmse,peak_mag_err_m,peak_time_err_h,obs_peak_m,sim_peak_m,model,horizon_h
273,0.9430073531545037,0.014582147609891578,0.0,1.0,0.189471,0.189471,persistence,1
274,0.3823699070957426,0.03249287056469605,0.0,1.0,0.181661,0.181661,persistence,1
275,0.07569367169511876,0.012045646892501188,0.0,1.0,0.033462,0.033462,persistence,1
276,0.21755822471770092,0.011436897793332557,0.0,1.0,0.035805,0.035805,persistence,1
277,0.2491502985037094,0.011073106040239042,0.0,1.0,0.035156,0.035156,persistence,1
278,0.21377468403746536,0.010916722331919147,0.0,1.0,0.033431,0.033431,persistence,1
279,0.17879422783690258,0.011097338971862141,0.0,1.0,0.035429,0.035429,persistence,1
280,0.2512194623490167,0.011204259694093267,0.0,1.0,0.036616,0.036616,persistence,1
281,0.327832299210315,0.01034333023533247,0.0,1.0,0.036718,0.036718,persistence,1
282,0.2214376347397572,0.01089318849480414,0.0,1.0,0.033999,0.033999,persistence,1
283,0.2698387300358085,0.015518705268159454,0.012151000000000002,0.16666666666666666,0.050989,0.06314,persistence,1
284,-0.5988129583342108,0.015051802949336038,0.0,1.0,0.033208,0.033208,persistence,1
285,0.26108567716376896,0.010662962503785844,0.0,1.0,0.035267,0.035267,persistence,1
286,0.21353460504615163,0.010461204040462574,0.0,1.0,0.034293,0.034293,persistence,1
287,0.9618380076357921,0.034168315821249635,0.0,1.0,0.480981,0.480981,persistence,1
288,0.17087478112557897,0.024995049507323713,0.0,1.0,0.139466,0.139466,persistence,1
289,0.7647846006176916,0.012196436066285603,0.0,1.0,0.08723,0.08723,persistence,1
290,0.307465644331672,0.00994849687976363,0.0,1.0,0.03616,0.03616,persistence,1
291,0.536095281427573,0.008112950578710103,0.0,1.0,0.037539,0.037539,persistence,1
292,0.48633494993853554,0.013642264852812589,0.0,1.0,0.05744,0.05744,persistence,1
293,0.39789796617448026,0.010874017147260663,0.0,1.0,0.040075,0.040075,persistence,1
294,0.1735220414099602,0.011028185300459754,0.0,1.0,0.042022,0.042022,persistence,1
295,0.4413344752017334,0.009961667887913694,0.0,1.0,0.047104,0.047104,persistence,1
